"country","year","GDP_USD","NetExports_USD","GDP_Growth_Percent","GDPPerCapita","GDPPerCapitaPPP","NetExports_GDP_Ratio"
"China",1970,92752930873.1912,2274220000,19.2999999967022,113.346243039894,NA,2.45191173862661
"China",1971,99959013879.6308,2710416000,7.05999999853672,118.84249157909,NA,2.71152734986346
"China",1972,113871930713.841,3537210000,3.81000000021984,132.097410431007,NA,3.10630545897125
"China",1973,138764340892,5959279000,7.76000000084325,157.339888078555,NA,4.29453198256323
"China",1974,144418433058.472,7213067000,2.31000000294736,160.402546852304,NA,4.99456118394498
"China",1975,163687619735.857,7974570000,8.71999999747992,178.621249282085,NA,4.87182232405149
"China",1976,154196810058.643,7440600000,-1.57000000165326,165.680987722637,NA,4.82539165185729
"China",1977,175226595859.778,8271070000,7.57000000138403,185.728620718294,NA,4.72021382337347
"China",1978,149788617886.179,10801140000,11.3259779878892,156.655616850835,NA,7.21092173252279
"China",1979,178573913043.478,13962640000,7.59132468000007,184.285853059043,NA,7.81896961433581
"China",1980,191487500000,19405720000,7.83414501593799,195.149479992051,NA,10.1341967491351
"China",1981,196218253968.254,24369970000,5.11276109058952,197.425510967822,NA,12.4198281796671
"China",1982,205480916030.534,22600124795.19,9.05928417062999,203.722788366928,NA,10.9986490384497
"China",1983,231130268199.234,21956304449.37,10.7273706842105,225.86534696156,NA,9.49953661216007
"China",1984,260442857142.857,24764305080.89,15.2325609955089,251.192686463827,NA,9.50853686392574
"China",1985,310064625850.34,25801403273.95,13.435474366529,295.007445815897,NA,8.32129856902917
"China",1986,301310144927.536,26202580690.47,8.93506493506504,282.445603096707,NA,8.69621588638233
"China",1987,273455156950.673,34072853910,11.6282225655699,252.256760114454,NA,12.4601248299538
"China",1988,312888888888.889,44923701330,11.2225949825209,284.023573149686,NA,14.3577170443892
"China",1989,348380566801.619,41190793490,4.20633435547828,311.429461227032,NA,11.8235049297269
"China",1990,361560229445.507,49129758920,3.9416305983694,318.50335359039,1666.92774090575,13.5882641172526
"China",1991,384510452961.672,55542659170,9.36170212784847,334.130288119078,1798.27610528653,14.4450323111337
"China",1992,428502354788.069,66847400129,14.2996108947926,367.822651903542,2030.38636999332,15.6002410213269
"China",1993,446557291212.148,74280328750,13.9290780143689,378.939353053314,2286.75974444182,16.6339975209836
"China",1994,566929539493.172,104607445198,13.0727091631599,475.677874448369,2556.64057218097,18.4515778259707
"China",1995,738190896227.55,131858826000,11.0328121562746,612.680277898627,2808.03403089611,17.8624291729756
"China",1996,868523936530.083,154811877000.001,9.97619992053447,713.337387811657,3055.96977919745,17.8247104643429
"China",1997,967753570434.667,187447040000,9.2876465280865,786.743548510999,3305.79061082131,19.3692945938508
"China",1998,1037134141760.35,188750394176,7.92079207933551,835.095348597432,3533.56587021506,18.1992267514817
"China",1999,1103843203575.64,198699399635,7.7370030581299,881.146614068925,3774.13766362641,18.0006905864311
"China",2000,1223754919971.05,253092089737,8.58643201808462,969.199513696287,4066.03627019859,20.681599363293
"China",2001,1355036590251.52,272060010515.89,8.31263887091522,1065.40597574519,4372.15705579934,20.0776873829946
"China",2002,1489821682050.54,333002310923.451,9.24339326638321,1163.55957673426,4744.39855079794,22.3518233715808
"China",2003,1683903309843.85,447958253781.62,10.1181928640117,1306.97245408557,5192.00604608587,26.6023738514511
"China",2004,1984196551300.44,607356934124.72,10.1314073631003,1530.92726215723,5684.16873050981,30.6097162464404
"China",2005,2317551298052.05,773339005396.99,11.458238455067,1777.64496828464,6298.32318474516,33.3687977498922
"China",2006,2791498472804.33,991731387760.501,12.6746751655235,2129.25696999613,7057.09993331646,35.5268468681701
"China",2007,3604055822571.63,1258056795940.68,14.1499854947127,2734.72709877693,8013.71568302247,34.9066956194649
"China",2008,4667346414521.95,1497868782939.59,9.67024588602851,3523.44302065213,8743.74491232188,32.092513602143
"China",2009,5189577094997.58,1262664161019.72,9.40269972778044,3898.24459158811,9518.43214737204,24.3307718125403
