"foreign_language","race","sex","wealth","educ","log_wealth","log_educ"
1,1,2,725000,12,13.4939269338368,2.484906649788
0,1,2,643000,12,13.3739000032198,2.484906649788
0,1,2,208673,14,12.2485237123912,2.63905732961526
0,1,1,1118500,16,13.9274990599123,2.77258872223978
1,1,2,130500,14,11.7791285057449,2.63905732961526
0,1,1,1030000,14,13.8450693602058,2.63905732961526
0,1,1,4515000,16,15.3229157448332,2.77258872223978
0,1,1,9200,13,9.12695876303713,2.56494935746154
0,1,1,605000,13,13.312983737013,2.56494935746154
0,1,2,16449398,16,16.6157994387613,2.77258872223978
1,1,2,1187500,16,13.9873608148909,2.77258872223978
0,1,2,16449398,14,16.6157994387613,2.63905732961526
0,1,2,4691000,16,15.3611563373106,2.77258872223978
1,1,2,116200,12,11.6630681233999,2.484906649788
1,1,2,333000,12,12.7158977689626,2.484906649788
0,1,2,480000,12,13.0815413828841,2.484906649788
0,1,2,649500,12,13.3839581150928,2.484906649788
0,1,1,860000,14,13.6646876682297,2.63905732961526
0,1,1,1009700,15,13.8251638149924,2.70805020110221
0,1,1,1946000,12,14.4812865417281,2.484906649788
0,1,2,1006400,14,13.8218901649283,2.63905732961526
0,1,2,202000,12,12.2160229763833,2.484906649788
0,1,2,209600,12,12.252956231429,2.484906649788
0,1,2,911000,17,13.7222981762421,2.83321334405622
0,1,2,712500,14,13.4765351911249,2.63905732961526
0,1,2,46400,16,10.7450547382143,2.77258872223978
0,1,1,1293500,16,14.0728622806082,2.77258872223978
0,1,1,16449398,18,16.6157994387613,2.89037175789616
0,1,2,16449398,16,16.6157994387613,2.77258872223978
0,1,1,624000,18,13.3439056473516,2.89037175789616
0,1,1,195000,18,12.1807548375459,2.89037175789616
0,1,2,1585500,16,14.2764103729605,2.77258872223978
0,1,2,1365000,16,14.1266649866012,2.77258872223978
0,1,1,284000,14,12.5567295171433,2.63905732961526
0,1,2,16449398,16,16.6157994387613,2.77258872223978
0,1,1,353386,19,12.7753162229161,2.94443897916644
0,1,1,317000,19,12.6666570528594,2.94443897916644
0,0,2,4700,9,8.45531778769815,2.19722457733622
0,0,1,1100,16,7.00306545878646,2.77258872223978
1,0,2,1418000,16,14.1647579860742,2.77258872223978
1,1,1,2357000,16,14.6729001819183,2.77258872223978
1,1,2,429000,16,12.9692121979102,2.77258872223978
0,1,2,297000,12,12.6014874177848,2.484906649788
0,1,1,348000,12,12.7599577587566,2.484906649788
0,1,1,328000,10,12.7007688873663,2.30258509299405
0,1,2,328200,14,12.7013784576381,2.63905732961526
1,1,2,158000,13,11.9703503120091,2.56494935746154
0,1,2,175800,14,12.0771022642332,2.63905732961526
1,1,2,220500,12,12.303652973869,2.484906649788
1,1,1,520000,20,13.1615840905576,2.99573227355399
1,1,1,14300,18,9.568014816248,2.89037175789616
1,1,1,3592750,16,15.0944284839365,2.77258872223978
0,1,1,446000,16,13.0080742310022,2.77258872223978
0,1,1,207000,20,12.2404740722475,2.99573227355399
0,1,1,783800,13,13.5719091647477,2.56494935746154
0,1,2,249500,12,12.4272141941737,2.484906649788
0,1,2,285200,12,12.5609459675223,2.484906649788
0,1,1,364500,15,12.8062818304308,2.70805020110221
1,1,1,258000,16,12.4607148639038,2.77258872223978
1,1,2,771600,17,13.5562215600137,2.83321334405622
0,1,1,2577654,12,14.7623902409061,2.484906649788
0,1,1,742000,16,13.5171045221495,2.77258872223978
0,1,1,1342500,16,14.1100441053652,2.77258872223978
0,1,2,1370000,16,14.1303212978043,2.77258872223978
0,1,2,2865000,16,14.868078908131,2.77258872223978
0,1,2,591500,18,13.2904169624006,2.89037175789616
0,1,2,208700,12,12.2486530930653,2.484906649788
0,1,1,137000,12,11.8277362048103,2.484906649788
0,1,1,190500,12,12.1574074735489,2.484906649788
0,1,2,1762000,12,14.3819600854783,2.484906649788
0,1,2,2728187,12,14.8191478439833,2.484906649788
0,1,2,825000,12,13.6231386653168,2.484906649788
0,1,2,51600,12,10.8512769514697,2.484906649788
0,1,2,949000,20,13.7631640775921,2.99573227355399
0,1,2,569000,17,13.2516357131085,2.83321334405622
0,1,2,806000,16,13.5998390214888,2.77258872223978
1,1,2,323000,12,12.6854076022048,2.484906649788
0,1,2,248100,12,12.4215871696799,2.484906649788
1,1,1,16449398,16,16.6157994387613,2.77258872223978
1,1,2,38,9,3.63758615972639,2.19722457733622
0,1,2,1000,14,6.90775527898214,2.63905732961526
1,1,2,724000,12,13.4925466713679,2.484906649788
